"UNITID","Students","Demographic"
127565,9478,"men"
127565,12289,"women"
127617,643,"men"
127617,1291,"women"
127653,332,"men"
127653,905,"women"
127714,457,"men"
127714,427,"women"
127732,664,"men"
127732,1267,"women"
127741,3193,"men"
127741,7211,"women"
127778,529,"men"
127778,699,"women"
127820,6760,"men"
127820,9417,"women"
127884,3675,"men"
127884,5510,"women"
127909,5886,"men"
127909,6253,"women"
127918,1768,"men"
127918,3909,"women"
127945,740,"men"
127945,2215,"women"
127954,4,"men"
127954,32,"women"
128106,3988,"men"
128106,8011,"women"
128151,550,"men"
128151,540,"women"
128179,877,"men"
128179,369,"women"
128188,705,"men"
128188,1113,"women"
128258,1091,"men"
128258,1290,"women"
128328,3593,"men"
128328,1524,"women"
128337,7,"men"
128337,167,"women"
128391,2862,"men"
128391,3097,"women"
128498,551,"men"
128498,994,"women"
128586,66,"men"
128586,0,"women"
128744,2349,"men"
128744,3254,"women"
128771,5740,"men"
128771,5639,"women"
128780,565,"men"
128780,1975,"women"
128896,34,"men"
128896,356,"women"
128902,807,"men"
128902,1237,"women"
129002,250,"men"
129002,189,"women"
129020,20952,"men"
129020,26493,"women"
129154,815,"men"
129154,4122,"women"
129181,1361,"men"
129181,201,"women"
129215,1782,"men"
129215,2579,"women"
129242,2861,"men"
129242,4130,"women"
129349,2,"men"
129349,325,"women"
129367,20615,"men"
129367,30730,"women"
129482,52,"men"
129482,576,"women"
129491,64,"men"
129491,59,"women"
129525,2820,"men"
129525,4102,"women"
129534,635,"men"
129534,360,"women"
129774,295,"men"
129774,265,"women"
129923,503,"men"
129923,836,"women"
129932,1524,"men"
129932,171,"women"
129941,5524,"men"
129941,6162,"women"
130174,1095,"men"
130174,752,"women"
130183,9387,"men"
130183,24316,"women"
130226,3735,"men"
130226,6409,"women"
130253,4713,"men"
130253,7982,"women"
130314,534,"men"
130314,1715,"women"
130493,3878,"men"
130493,6808,"women"
130590,1119,"men"
130590,1222,"women"
130624,655,"men"
130624,426,"women"
130697,1852,"men"
130697,2306,"women"
130776,2220,"men"
