"unitid","Year","Weapon Possession (Discipline)","Drug Law Violation","Liquor Law Violation"
"157818","2023",1,3,10
"157863","2023",0,1,0
"158246","2023",0,0,0
"158325","2023",0,0,0
"158477","2023",0,1,0
"158538","2023",0,0,0
"158778","2023",0,0,0
"158787","2023",0,0,0
"158802","2023",1,3,0
"158884","2023",0,0,0
"159009","2023",0,3,1
"159027","2023",0,0,0
"159197","2023",0,0,0
"159328","2023",0,0,0
"159382","2023",0,0,0
"159391","2023",0,0,0
"159407","2023",0,2,0
"159416","2023",0,8,0
"159513","2023",0,0,0
"159522","2023",0,0,0
"159531","2023",0,0,0
"159568","2023",0,0,0
"159601","2023",0,0,0
"159647","2023",0,22,0
"159717","2023",1,5,0
"159939","2023",0,7,2
"159948","2023",0,0,0
"159993","2023",1,15,24
"160065","2023",0,1,1
"160074","2023",0,0,0
"160126","2023",0,0,0
"160199","2023",0,0,0
"160409","2023",0,0,0
"160524","2023",0,0,0
"160597","2023",0,0,0
"160621","2023",0,1,0
"160630","2023",0,3,1
"160649","2023",0,0,0
"160904","2023",0,6,1
"160959","2023",0,0,0
"160977","2023",0,18,59
"161004","2023",0,0,57
"161022","2023",0,0,0
"161077","2023",0,0,0
"161086","2023",0,27,82
"161138","2023",0,4,5
"161208","2023",0,0,0
"161226","2023",0,22,25
"161235","2023",0,0,0
"161299","2023",0,0,35
"161341","2023",0,9,21
"161484","2023",1,0,0
"161493","2023",0,0,0
"161509","2023",0,0,0
"161518","2023",0,0,0
"161527","2023",0,0,0
"161563","2023",0,4,21
"161572","2023",0,0,0
"161581","2023",1,12,25
"161688","2023",0,4,7
"161767","2023",2,2,0
"161800","2023",0,0,0
"161855","2023",0,0,0
"162007","2023",2,61,6
"162061","2023",0,0,0
"162210","2023",0,3,0
"162283","2023",0,17,9
"162335","2023",0,0,0
"162371","2023",0,0,0
"162557","2023",0,0,0
"162609","2023",1,3,2
"162654","2023",0,13,3
"162690","2023",0,0,0
"162706","2023",0,0,0
"162760","2023",0,6,52
"162779","2023",0,0,0
"162830","2023",0,0,0
"163028","2023",0,0,0
"163295","2023",0,8,16
"163347","2023",0,0,0
"163408","2023",0,0,0
"163453","2023",2,25,4
"163532","2023",0,0,0
"163541","2023",0,0,0
"163578","2023",0,3,5
"163912","2023",0,0,31
"163976","2023",0,8,10
"164085","2023",0,0,0
"164216","2023",0,0,18
"164313","2023",0,0,0
"164447","2023",0,2,48
"164465","2023",1,0,11
"164492","2023",0,10,25
"164535","2023",0,10,0
"164599","2023",0,0,0
"164614","2023",0,0,0
"164739","2023",2,45,104
"164775","2023",0,0,0
"164872","2023",0,0,0
"164915","2023",0,0,0
"164924","2023",7,139,566
"165015","2023",0,0,69
"165033","2023",0,0,0
"165060","2023",0,0,0
"165255","2023",0,0,0
"165264","2023",0,0,0
"165334","2023",0,10,78
"165495","2023",0,0,0
"165574","2023",0,11,69
"165608","2023",0,0,0
"165635","2023",0,0,0
"165644","2023",2,22,412
"165671","2023",0,5,73
"165750","2023",0,0,0
"165802","2023",0,0,23
"165820","2023",1,0,56
"165866","2023",0,0,0
"165884","2023",0,0,0
"165936","2023",2,3,14
"166018","2023",0,11,8
"166045","2023",0,0,0
"166054","2023",0,0,0
"166124","2023",0,2,92
"166133","2023",0,0,0
"166391","2023",1,21,33
"166407","2023",0,0,0
"166452","2023",0,2,16
"166489","2023",0,0,0
"166498","2023",0,0,0
"166629","2023",0,0,149
"166674","2023",0,1,5
"166683","2023",0,0,43
"166717","2023",0,0,0
"166805","2023",0,0,0
"166850","2023",0,0,440
"166869","2023",0,0,0
"166911","2023",0,0,0
"166939","2023",0,12,22
"167039","2023",0,0,0
"167057","2023",0,0,2
"167215","2023",0,0,0
"167260","2023",0,0,48
"167288","2023",0,2,22
"167297","2023",0,0,0
"167631","2023",0,0,0
"167677","2023",0,0,0
"167729","2023",0,2,30
"167783","2023",0,0,17
"167835","2023",0,5,11
"167871","2023",0,0,0
"167899","2023",2,0,86
"167905","2023",1,0,0
"167996","2023",8,1,243
"168005","2023",0,8,114
"168032","2023",0,0,0
"168218","2023",0,0,2
"168227","2023",1,0,87
"168254","2023",5,0,109
"168263","2023",6,19,73
"168281","2023",1,8,39
"168421","2023",3,6,52
"168430","2023",1,26,82
"168528","2023",0,0,1
"168546","2023",0,26,23
"168555","2023",0,0,0
"168573","2023",0,0,0
"168591","2023",0,6,21
"168740","2023",0,0,1
"168786","2023",0,4,29
"168892","2023",0,0,0
"169080","2023",0,3,27
"169099","2023",0,0,0
"169187","2023",0,0,0
"169220","2023",0,0,0
"169424","2023",0,0,0
"169576","2023",0,0,0
"169761","2023",0,0,0
"169798","2023",0,13,15
"169813","2023",0,0,0
"169974","2023",1,0,1
"169983","2023",0,0,0
"170000","2023",0,0,0
"170037","2023",0,0,4
"170091","2023",0,0,0
"170301","2023",0,13,80
"170532","2023",0,6,17
"170587","2023",0,0,0
"170611","2023",0,0,0
"170675","2023",0,18,70
"170736","2023",0,0,0
"170967","2023",0,0,0
"170976","2023",1,33,305
"171012","2023",0,0,0
"171137","2023",0,0,0
"171234","2023",0,0,0
"171456","2023",0,35,78
"171492","2023",0,8,17
"171599","2023",1,0,19
"171775","2023",0,0,0
"171881","2023",0,0,0
"171997","2023",0,0,0
"172015","2023",0,0,0
"172033","2023",0,0,0
"172291","2023",0,0,0
"172307","2023",0,5,16
"172334","2023",0,1,5
"172422","2023",0,0,0
"172617","2023",0,0,1
"172671","2023",0,0,0
"172680","2023",0,0,0
"172705","2023",0,0,0
"172866","2023",0,0,0
"172918","2023",0,0,0
"172954","2023",0,0,0
"173115","2023",0,0,0
"173124","2023",0,6,41
"173142","2023",0,2,9
"173160","2023",0,11,20
"173258","2023",0,2,47
"173300","2023",0,2,16
"173328","2023",0,0,0
"173416","2023",0,0,0
"173452","2023",0,0,26
"173647","2023",0,3,21
"173665","2023",0,12,39
"173683","2023",0,0,0
"173744","2023",0,0,0
"173799","2023",0,0,0
"173896","2023",0,0,0
"173902","2023",0,10,57
"174075","2023",0,0,0
"174127","2023",0,2,0
"174136","2023",0,6,0
"174154","2023",0,0,0
"174190","2023",0,0,0
"174233","2023",0,17,130
"174251","2023",0,5,2
"174321","2023",0,0,0
"174358","2023",0,0,3
"174376","2023",0,0,0
"174428","2023",1,0,0
"174437","2023",0,0,0
"174491","2023",0,3,7
"174507","2023",0,0,0
"174525","2023",0,0,0
"174570","2023",0,0,0
"174738","2023",0,1,0
"174747","2023",0,10,46
"174756","2023",0,0,0
"174792","2023",0,78,28
"174844","2023",1,13,63
"174862","2023",0,0,0
"174978","2023",0,0,0
"175005","2023",0,3,0
"175041","2023",1,1,0
"175078","2023",0,0,0
"175120","2023",0,0,0
"175139","2023",0,0,0
"175227","2023",0,0,0
"175281","2023",0,0,0
"175315","2023",0,1,0
"175421","2023",0,12,12
"175430","2023",0,0,0
"175494","2023",0,0,0
"175519","2023",0,0,0
"175616","2023",1,0,0
"175643","2023",1,0,1
"175698","2023",0,0,0
"175722","2023",0,0,0
"175810","2023",0,0,0
"175883","2023",2,5,8
"175935","2023",0,0,0
"175980","2023",0,1,4
"176008","2023",0,0,0
"176035","2023",0,0,1
"176044","2023",0,0,0
"176053","2023",0,0,36
"176062","2023",0,0,0
"176169","2023",0,6,1
"176318","2023",1,1,1
"176336","2023",0,0,0
"176354","2023",1,8,1
"176372","2023",0,19,11
"176406","2023",0,3,3
"176433","2023",0,0,0
"176451","2023",0,0,0
"176600","2023",0,0,0
"176628","2023",0,1,2
"176664","2023",0,0,0
"176716","2023",0,0,0
"176789","2023",0,0,0
"176798","2023",0,0,0
"176910","2023",0,0,0
"176947","2023",0,6,25
"176983","2023",0,0,0
"177038","2023",0,0,0
"177083","2023",0,0,0
"177092","2023",0,0,0
"177117","2023",0,0,0
