"UNITID","YEAR","Total Students"
123943,"2023",698
123943,"2022",740
123952,"2024",611
123952,"2023",626
123952,"2022",642
123961,"2024",51953
123961,"2023",52694
123961,"2022",54222
123970,"2024",1017
123970,"2023",1014
123970,"2022",980
124113,"2024",8130
124113,"2023",7860
124113,"2022",6764
124283,"2024",239
124283,"2023",225
124283,"2022",281
124292,"2024",541
124292,"2023",517
124292,"2022",501
124487,"2024",158
124487,"2023",177
124487,"2022",212
124681,"2024",1818
124681,"2023",1928
124681,"2022",1922
124706,"2024",959
124706,"2023",1333
124706,"2022",1209
124937,"2024",512
124937,"2023",959
124937,"2022",1065
125028,"2024",18107
125028,"2023",16174
125028,"2022",16451
125037,"2024",334
125037,"2023",318
125037,"2022",314
125082,"2024",159
125082,"2023",144
125082,"2022",140
125091,"2024",20895
125091,"2023",15112
125091,"2022",14497
125170,"2024",11265
125170,"2023",10471
125170,"2022",9904
125231,"2024",72855
125231,"2023",67717
125231,"2022",73537
125310,"2024",77
125310,"2023",72
125310,"2022",76
125462,"2024",5263
125462,"2023",4454
125462,"2022",5412
125471,"2024",19187
125471,"2023",17492
125471,"2022",18440
125499,"2024",11247
125499,"2023",10500
125499,"2022",10492
125532,"2024",3699
125532,"2023",3642
125532,"2022",3110
125718,"2024",109
125718,"2023",108
125718,"2022",135
125727,"2024",1393
125727,"2023",1359
125727,"2022",1289
125763,"2024",899
125763,"2023",1252
125763,"2022",1453
125897,"2024",958
125897,"2023",1041
125897,"2022",1098
126012,"2024",597
126012,"2023",601
126012,"2022",598
126049,"2024",267
126049,"2023",293
126049,"2022",309
126076,"2024",204
126076,"2023",223
126076,"2022",161
126119,"2024",8679
126119,"2023",8260
126119,"2022",7963
126182,"2024",3852
126182,"2023",3715
126182,"2022",3833
126207,"2024",10056
126207,"2023",9643
