UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
140988,2,  1,"R",29,"R",23,"R",227,"R",1032,"R",4,"R",11,"R",13,"R",12,"R",17,"R",35,"R",585,"R",844,"R",33,"R",64,"R",908,"R",2021,"R",52,"R",1259,"R",15,"R",25,"R",52,"R",1429,"R",97,"R",2929
140988,4,  3,"R",3,"R",2,"R",30,"R",111,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"R",76,"R",81,"R",4,"R",4,"R",113,"R",201,"R",5,"R",141,"R",1,"Z",0,"R",2,"R",157,"R",8,"R",314
140997,1,999,"R",5,"R",8,"R",149,"R",335,"R",2,"R",4,"R",6,"R",7,"R",14,"R",15,"R",483,"R",877,"Z",0,"Z",0,"R",659,"R",1246,"R",13,"R",484,"R",6,"R",13,"R",29,"R",1360,"Z",0,"R",1905
140997,2,  1,"R",5,"R",8,"R",149,"R",335,"R",2,"R",4,"R",6,"R",7,"R",14,"R",15,"R",483,"R",877,"Z",0,"Z",0,"R",659,"R",1246,"R",13,"R",484,"R",6,"R",13,"R",29,"R",1360,"Z",0,"R",1905
141006,1,999,"R",1,"Z",0,"R",639,"R",966,"R",1,"R",3,"R",5,"R",1,"R",11,"R",12,"R",579,"R",480,"R",19,"R",10,"R",1255,"R",1472,"R",1,"R",1605,"R",4,"R",6,"R",23,"R",1059,"R",29,"R",2727
141006,2,  1,"R",1,"Z",0,"R",639,"R",966,"R",1,"R",3,"R",5,"R",1,"R",11,"R",12,"R",579,"R",480,"R",19,"R",10,"R",1255,"R",1472,"R",1,"R",1605,"R",4,"R",6,"R",23,"R",1059,"R",29,"R",2727
141015,1,999,"Z",0,"Z",0,"R",14,"R",13,"R",4,"Z",0,"R",11,"R",10,"R",12,"R",5,"R",147,"R",105,"R",12,"Z",0,"R",200,"R",133,"Z",0,"R",27,"R",4,"R",21,"R",17,"R",252,"R",12,"R",333
141015,2,  1,"Z",0,"Z",0,"R",14,"R",13,"R",4,"Z",0,"R",11,"R",10,"R",12,"R",5,"R",147,"R",105,"R",12,"Z",0,"R",200,"R",133,"Z",0,"R",27,"R",4,"R",21,"R",17,"R",252,"R",12,"R",333
141060,1,999,"Z",0,"R",36,"Z",0,"R",2080,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"R",88,"Z",0,"R",2208,"R",36,"R",2080,"Z",0,"R",1,"R",2,"R",1,"R",88,"R",2208
141060,2,  1,"Z",0,"R",36,"Z",0,"R",2080,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"R",88,"Z",0,"R",2208,"R",36,"R",2080,"Z",0,"R",1,"R",2,"R",1,"R",88,"R",2208
141097,1,999,"R",300,"R",173,"R",732,"R",336,"R",8,"R",2,"R",254,"R",62,"R",100,"R",24,"R",2446,"R",409,"Z",0,"Z",0,"R",3840,"R",1006,"R",473,"R",1068,"R",10,"R",316,"R",124,"R",2855,"Z",0,"R",4846
141097,2,  1,"R",161,"R",62,"R",640,"R",251,"R",7,"R",2,"R",216,"R",48,"R",94,"R",21,"R",2231,"R",328,"Z",0,"Z",0,"R",3349,"R",712,"R",223,"R",891,"R",9,"R",264,"R",115,"R",2559,"Z",0,"R",4061
141097,4,  3,"R",139,"R",111,"R",92,"R",85,"R",1,"Z",0,"R",38,"R",14,"R",6,"R",3,"R",215,"R",81,"Z",0,"Z",0,"R",491,"R",294,"R",250,"R",177,"R",1,"R",52,"R",9,"R",296,"Z",0,"R",785
