UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
404383,1,999,"Z",0,"Z",0,"R",177,"R",9,"R",1,"Z",0,"R",21,"R",4,"R",23,"R",12,"R",429,"R",174,"Z",0,"Z",0,"R",651,"R",199,"Z",0,"R",186,"R",1,"R",25,"R",35,"R",603,"Z",0,"R",850
404383,2,  1,"Z",0,"Z",0,"R",177,"R",9,"R",1,"Z",0,"R",21,"R",4,"R",23,"R",12,"R",429,"R",174,"Z",0,"Z",0,"R",651,"R",199,"Z",0,"R",186,"R",1,"R",25,"R",35,"R",603,"Z",0,"R",850
404426,1,999,"Z",0,"Z",0,"R",26,"R",42,"R",428,"R",742,"R",33,"R",55,"R",186,"R",309,"R",1795,"R",2359,"R",56,"R",53,"R",2524,"R",3560,"Z",0,"R",68,"R",1170,"R",88,"R",495,"R",4154,"R",109,"R",6084
404426,2,  1,"Z",0,"Z",0,"R",26,"R",42,"R",428,"R",742,"R",33,"R",55,"R",186,"R",309,"R",1795,"R",2359,"R",56,"R",53,"R",2524,"R",3560,"Z",0,"R",68,"R",1170,"R",88,"R",495,"R",4154,"R",109,"R",6084
404499,1,999,"Z",0,"Z",0,"R",52,"R",416,"R",2,"R",4,"R",24,"R",47,"R",46,"R",259,"R",44,"R",262,"R",26,"R",106,"R",194,"R",1094,"Z",0,"R",468,"R",6,"R",71,"R",305,"R",306,"R",132,"R",1288
404499,2,  1,"Z",0,"Z",0,"R",52,"R",416,"R",2,"R",4,"R",24,"R",47,"R",46,"R",259,"R",44,"R",262,"R",26,"R",106,"R",194,"R",1094,"Z",0,"R",468,"R",6,"R",71,"R",305,"R",306,"R",132,"R",1288
404505,1,999,"Z",0,"Z",0,"R",14,"R",234,"R",1,"R",2,"R",3,"R",19,"R",4,"R",35,"R",24,"R",331,"R",2,"R",42,"R",48,"R",663,"Z",0,"R",248,"R",3,"R",22,"R",39,"R",355,"R",44,"R",711
404505,2,  1,"Z",0,"Z",0,"R",14,"R",234,"R",1,"R",2,"R",3,"R",19,"R",4,"R",35,"R",24,"R",331,"R",2,"R",42,"R",48,"R",663,"Z",0,"R",248,"R",3,"R",22,"R",39,"R",355,"R",44,"R",711
404514,1,999,"Z",0,"Z",0,"R",19,"R",158,"R",1,"Z",0,"R",4,"R",16,"R",13,"R",78,"R",26,"R",147,"R",2,"R",4,"R",65,"R",403,"Z",0,"R",177,"R",1,"R",20,"R",91,"R",173,"R",6,"R",468
404514,2,  1,"Z",0,"Z",0,"R",19,"R",158,"R",1,"Z",0,"R",4,"R",16,"R",13,"R",78,"R",26,"R",147,"R",2,"R",4,"R",65,"R",403,"Z",0,"R",177,"R",1,"R",20,"R",91,"R",173,"R",6,"R",468
