unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
101295,2,1,"R",14,"R",1,"R",113,"R",99,"R",13,"R",15,"R",7,"R",16,"R",17,"R",20,"R",2608,"R",4160,"Z",0,"Z",0,"R",2772,"R",4311,"R",15,"R",212,"R",28,"R",23,"R",37,"R",6768,"Z",0,"R",7083
101301,1,999,"Z",0,"Z",0,"R",386,"R",964,"R",2,"R",2,"R",4,"R",4,"Z",0,"R",4,"R",508,"R",785,"R",1,"Z",0,"R",901,"R",1759,"Z",0,"R",1350,"R",4,"R",8,"R",4,"R",1293,"R",1,"R",2660
101301,2,1,"Z",0,"Z",0,"R",386,"R",964,"R",2,"R",2,"R",4,"R",4,"R",0,"R",4,"R",508,"R",785,"R",1,"Z",0,"R",901,"R",1759,"Z",0,"R",1350,"R",4,"R",8,"R",4,"R",1293,"R",1,"R",2660
101347,1,999,"Z",0,"Z",0,"R",153,"R",423,"R",4,"R",3,"R",3,"R",6,"R",3,"R",8,"R",561,"R",770,"R",20,"R",34,"R",744,"R",1244,"Z",0,"R",576,"R",7,"R",9,"R",11,"R",1331,"R",54,"R",1988
101347,2,1,"R",0,"R",0,"R",153,"R",423,"R",4,"R",3,"R",3,"R",6,"R",3,"R",8,"R",561,"R",770,"R",20,"R",34,"R",744,"R",1244,"Z",0,"R",576,"R",7,"R",9,"R",11,"R",1331,"R",54,"R",1988
101365,1,999,"Z",0,"Z",0,"R",192,"R",198,"R",1,"Z",0,"R",3,"Z",0,"R",3,"Z",0,"R",374,"R",101,"R",3,"R",2,"R",576,"R",301,"Z",0,"R",390,"R",1,"R",3,"R",3,"R",475,"R",5,"R",877
101365,2,1,"R",0,"R",0,"R",192,"R",198,"R",1,"R",0,"R",3,"R",0,"R",3,"R",0,"R",374,"R",101,"R",3,"R",2,"R",576,"R",301,"Z",0,"R",390,"R",1,"R",3,"R",3,"R",475,"R",5,"R",877
101435,1,999,"R",8,"R",15,"R",9,"R",42,"Z",0,"R",2,"R",1,"R",6,"R",2,"R",3,"R",203,"R",344,"R",10,"R",8,"R",233,"R",420,"R",23,"R",51,"R",2,"R",7,"R",5,"R",547,"R",18,"R",653
101435,2,1,"R",8,"R",15,"R",9,"R",42,"R",0,"R",2,"R",1,"R",6,"R",2,"R",3,"R",203,"R",344,"R",10,"R",8,"R",233,"R",420,"R",23,"R",51,"R",2,"R",7,"R",5,"R",547,"R",18,"R",653
101453,1,999,"R",22,"R",1,"R",21,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",145,"R",24,"R",1,"R",1,"R",192,"R",30,"R",23,"R",25,"Z",0,"Z",0,"R",3,"R",169,"R",2,"R",222
